profile,edge,strategy,fake_sni,app_cut,app_delay_ms,verified,duration_ms,error,targets
uacSpoofer 1,104.19.230.21,wrong_seq,support.cloudflare.com,0,0,False,5745.6,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5501.5, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 2,104.24.133.30,wrong_seq,support.cloudflare.com,0,0,False,5919.8,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5506.9, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 3,104.18.9.83,wrong_seq,support.cloudflare.com,0,0,False,5726.5,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5515.4, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 6,104.16.1.1,wrong_seq,support.cloudflare.com,0,0,False,5948.5,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5516.6, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 1,188.114.97.2,full5,www.speedtest.net,0,0,False,5929.0,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5506.0, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 1,104.25.122.225,full5,www.speedtest.net,0,0,False,5943.5,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5510.9, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 2,188.114.97.2,full5,www.speedtest.net,0,0,False,5922.0,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5507.4, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 2,190.93.245.235,full5,www.speedtest.net,0,0,False,5945.2,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5512.5, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 3,172.66.0.1,full5,www.speedtest.net,0,0,False,5928.3,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5494.6, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 3,188.114.99.0,full5,www.speedtest.net,0,0,False,5965.2,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5530.9, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 3,104.18.1.1,full5,www.speedtest.net,0,0,False,5941.4,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5513.4, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 3,198.41.206.20,full5,www.speedtest.net,0,0,False,5946.8,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5511.8, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 6,172.66.0.1,full5,www.speedtest.net,0,0,False,5912.4,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5501.4, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 6,104.17.10.61,full5,www.speedtest.net,0,0,False,5734.3,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5510.7, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 1,188.114.97.2,wrong_seq,www.speedtest.net,0,0,False,5915.9,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5503.5, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 1,104.25.122.225,wrong_seq,www.speedtest.net,0,0,False,5927.6,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5514.1, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 2,188.114.97.2,wrong_seq,www.speedtest.net,0,0,False,5949.5,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5510.1, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 2,190.93.245.235,wrong_seq,www.speedtest.net,0,0,False,5731.3,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5509.4, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 3,172.66.0.1,wrong_seq,www.speedtest.net,0,0,False,5927.1,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5511.9, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 3,188.114.99.0,wrong_seq,www.speedtest.net,0,0,False,5927.7,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5515.0, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 3,104.18.1.1,wrong_seq,www.speedtest.net,0,0,False,5710.9,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5501.6, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 3,198.41.206.20,wrong_seq,www.speedtest.net,0,0,False,5734.7,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5510.1, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 6,172.66.0.1,wrong_seq,www.speedtest.net,0,0,False,5946.4,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5517.0, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 6,104.17.10.61,wrong_seq,www.speedtest.net,0,0,False,5915.6,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5501.9, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 1,104.19.230.21,full5,www.speedtest.net,17,3,False,5942.2,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5508.0, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 2,104.24.133.30,full5,www.speedtest.net,17,3,False,5751.2,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5511.4, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 3,104.18.9.83,full5,www.speedtest.net,17,3,False,5943.9,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5510.0, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 6,104.16.1.1,full5,www.speedtest.net,17,3,False,5951.4,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5512.9, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 1,104.19.230.21,wrong_seq,www.speedtest.net,17,3,False,5953.6,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5521.7, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 2,104.24.133.30,wrong_seq,www.speedtest.net,17,3,False,5956.9,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5531.3, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 3,104.18.9.83,wrong_seq,www.speedtest.net,17,3,False,5739.7,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5515.5, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 6,104.16.1.1,wrong_seq,www.speedtest.net,17,3,False,5921.7,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5507.7, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 1,104.19.230.21,full5,www.speedtest.net,37,8,False,5749.1,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5510.4, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 2,104.24.133.30,full5,www.speedtest.net,37,8,False,5930.5,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5514.6, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 3,104.18.9.83,full5,www.speedtest.net,37,8,False,5742.7,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5533.0, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 6,104.16.1.1,full5,www.speedtest.net,37,8,False,5935.9,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5524.2, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 1,104.19.230.21,wrong_seq,www.speedtest.net,37,8,False,5919.7,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5506.8, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
uacSpoofer 2,104.24.133.30,wrong_seq,www.speedtest.net,37,8,False,5942.9,,"[{""name"": ""gstatic"", ""ok"": false, ""status"": 0, ""bytes"": 0, ""ms"": 5510.0, ""error"": ""ReadTimeout: HTTPSConnectionPool(host='www.gstatic.com', port=443): Read timed out. (read timeout=5.5)""}]"
