timestamp,profile,edge,sni,host,path,transport,tcp_ok,tls_ok,upgrade_ok,status,elapsed_ms,error
2026-08-01T20:57:08+0330,uacSpoofer 1,104.18.32.47,www.calmlunch.com,www.calmlunch.com,/assignment,ws,True,True,False,,25777.3,TimeoutError: 
2026-08-01T20:57:10+0330,uacSpoofer 2,104.16.1.1,www.ignitelimit.com,www.ignitelimit.com,/assignment,ws,True,True,False,,24037.1,TimeoutError: 
2026-08-01T20:57:09+0330,uacSpoofer 1,104.18.10.110,www.calmlunch.com,www.calmlunch.com,/assignment,ws,True,True,False,,25672.5,TimeoutError: 
2026-08-01T20:57:10+0330,uacSpoofer 2,188.114.99.0,www.ignitelimit.com,www.ignitelimit.com,/assignment,ws,True,True,False,,24173.0,TimeoutError: 
2026-08-01T20:57:10+0330,uacSpoofer 4,162.159.193.1,www.gossipglove.com,www.gossipglove.com,/assignment?TELEGRAM--KANAL--JKVPN--JKVPN--JKVPN--JKVPN--JKVPN--JKVPN,ws,False,False,False,,24079.2,TimeoutError: 
2026-08-01T20:57:10+0330,uacSpoofer 4,172.64.0.1,www.gossipglove.com,www.gossipglove.com,/assignment?TELEGRAM--KANAL--JKVPN--JKVPN--JKVPN--JKVPN--JKVPN--JKVPN,ws,False,False,False,,24122.1,TimeoutError: 
2026-08-01T20:57:10+0330,uacSpoofer 2,104.25.122.225,www.ignitelimit.com,www.ignitelimit.com,/assignment,ws,True,True,False,,24471.3,TimeoutError: 
2026-08-01T20:57:10+0330,uacSpoofer 4,173.245.50.20,www.gossipglove.com,www.gossipglove.com,/assignment?TELEGRAM--KANAL--JKVPN--JKVPN--JKVPN--JKVPN--JKVPN--JKVPN,ws,False,False,False,,24495.4,TimeoutError: 
2026-08-01T20:57:10+0330,uacSpoofer 4,173.245.53.235,www.gossipglove.com,www.gossipglove.com,/assignment?TELEGRAM--KANAL--JKVPN--JKVPN--JKVPN--JKVPN--JKVPN--JKVPN,ws,False,False,False,,25028.2,TimeoutError: 
2026-08-01T20:57:10+0330,uacSpoofer 4,173.245.57.194,www.gossipglove.com,www.gossipglove.com,/assignment?TELEGRAM--KANAL--JKVPN--JKVPN--JKVPN--JKVPN--JKVPN--JKVPN,ws,False,False,False,,25169.8,TimeoutError: 
2026-08-01T20:57:10+0330,uacSpoofer 4,173.245.61.235,www.gossipglove.com,www.gossipglove.com,/assignment?TELEGRAM--KANAL--JKVPN--JKVPN--JKVPN--JKVPN--JKVPN--JKVPN,ws,False,False,False,,25170.1,TimeoutError: 
2026-08-01T20:57:08+0330,uacSpoofer 1,104.18.8.83,www.calmlunch.com,www.calmlunch.com,/assignment,ws,True,True,False,,27116.0,TimeoutError: 
2026-08-01T20:57:10+0330,uacSpoofer 4,103.21.244.133,www.gossipglove.com,www.gossipglove.com,/assignment?TELEGRAM--KANAL--JKVPN--JKVPN--JKVPN--JKVPN--JKVPN--JKVPN,ws,False,False,False,,25418.8,TimeoutError: 
2026-08-01T20:57:10+0330,uacSpoofer 4,103.21.245.122,www.gossipglove.com,www.gossipglove.com,/assignment?TELEGRAM--KANAL--JKVPN--JKVPN--JKVPN--JKVPN--JKVPN--JKVPN,ws,False,False,False,,25496.0,TimeoutError: 
2026-08-01T20:57:10+0330,uacSpoofer 4,103.21.246.112,www.gossipglove.com,www.gossipglove.com,/assignment?TELEGRAM--KANAL--JKVPN--JKVPN--JKVPN--JKVPN--JKVPN--JKVPN,ws,False,False,False,,25496.3,TimeoutError: 
2026-08-01T20:57:10+0330,uacSpoofer 4,103.21.247.122,www.gossipglove.com,www.gossipglove.com,/assignment?TELEGRAM--KANAL--JKVPN--JKVPN--JKVPN--JKVPN--JKVPN--JKVPN,ws,False,False,False,,25605.0,TimeoutError: 
2026-08-01T20:57:10+0330,uacSpoofer 4,103.22.200.133,www.gossipglove.com,www.gossipglove.com,/assignment?TELEGRAM--KANAL--JKVPN--JKVPN--JKVPN--JKVPN--JKVPN--JKVPN,ws,False,False,False,,25625.5,TimeoutError: 
2026-08-01T20:57:10+0330,uacSpoofer 2,104.27.122.225,www.ignitelimit.com,www.ignitelimit.com,/assignment,ws,True,True,False,,25654.2,TimeoutError: 
2026-08-01T20:57:10+0330,uacSpoofer 4,103.22.201.122,www.gossipglove.com,www.gossipglove.com,/assignment?TELEGRAM--KANAL--JKVPN--JKVPN--JKVPN--JKVPN--JKVPN--JKVPN,ws,False,False,False,,25727.4,TimeoutError: 
2026-08-01T20:57:10+0330,uacSpoofer 4,103.22.202.112,www.gossipglove.com,www.gossipglove.com,/assignment?TELEGRAM--KANAL--JKVPN--JKVPN--JKVPN--JKVPN--JKVPN--JKVPN,ws,False,False,False,,25979.2,TimeoutError: 
2026-08-01T20:57:10+0330,uacSpoofer 1,104.27.122.225,www.calmlunch.com,www.calmlunch.com,/assignment,ws,True,True,False,,26316.7,TimeoutError: 
2026-08-01T20:57:10+0330,uacSpoofer 4,103.22.203.122,www.gossipglove.com,www.gossipglove.com,/assignment?TELEGRAM--KANAL--JKVPN--JKVPN--JKVPN--JKVPN--JKVPN--JKVPN,ws,False,False,False,,26018.8,TimeoutError: 
2026-08-01T20:57:10+0330,uacSpoofer 4,103.31.5.122,www.gossipglove.com,www.gossipglove.com,/assignment?TELEGRAM--KANAL--JKVPN--JKVPN--JKVPN--JKVPN--JKVPN--JKVPN,ws,False,False,False,,26038.1,TimeoutError: 
2026-08-01T20:57:10+0330,uacSpoofer 3,104.18.1.55,www.ignitelimit.com,www.ignitelimit.com,/assignment,ws,True,True,False,,26040.6,TimeoutError: 
2026-08-01T20:57:10+0330,uacSpoofer 4,103.31.6.112,www.gossipglove.com,www.gossipglove.com,/assignment?TELEGRAM--KANAL--JKVPN--JKVPN--JKVPN--JKVPN--JKVPN--JKVPN,ws,False,False,False,,26080.2,TimeoutError: 
2026-08-01T20:57:10+0330,uacSpoofer 3,172.66.0.1,www.ignitelimit.com,www.ignitelimit.com,/assignment,ws,True,True,True,HTTP/1.1 101 Switching Protocols,26106.9,
2026-08-01T20:57:10+0330,uacSpoofer 4,103.31.7.122,www.gossipglove.com,www.gossipglove.com,/assignment?TELEGRAM--KANAL--JKVPN--JKVPN--JKVPN--JKVPN--JKVPN--JKVPN,ws,False,False,False,,26214.8,TimeoutError: 
2026-08-01T20:57:10+0330,uacSpoofer 4,141.101.72.81,www.gossipglove.com,www.gossipglove.com,/assignment?TELEGRAM--KANAL--JKVPN--JKVPN--JKVPN--JKVPN--JKVPN--JKVPN,ws,False,False,False,,26215.8,TimeoutError: 
2026-08-01T20:57:10+0330,uacSpoofer 4,141.101.87.174,www.gossipglove.com,www.gossipglove.com,/assignment?TELEGRAM--KANAL--JKVPN--JKVPN--JKVPN--JKVPN--JKVPN--JKVPN,ws,False,False,False,,26266.2,TimeoutError: 
2026-08-01T20:57:10+0330,uacSpoofer 4,141.101.103.10,www.gossipglove.com,www.gossipglove.com,/assignment?TELEGRAM--KANAL--JKVPN--JKVPN--JKVPN--JKVPN--JKVPN--JKVPN,ws,False,False,False,,26266.8,TimeoutError: 
2026-08-01T20:57:09+0330,uacSpoofer 1,104.18.0.55,www.calmlunch.com,www.calmlunch.com,/assignment,ws,True,True,False,,27974.3,TimeoutError: 
2026-08-01T20:57:10+0330,uacSpoofer 4,141.101.119.174,www.gossipglove.com,www.gossipglove.com,/assignment?TELEGRAM--KANAL--JKVPN--JKVPN--JKVPN--JKVPN--JKVPN--JKVPN,ws,False,False,False,,26350.2,TimeoutError: 
2026-08-01T20:57:10+0330,uacSpoofer 4,108.162.200.81,www.gossipglove.com,www.gossipglove.com,/assignment?TELEGRAM--KANAL--JKVPN--JKVPN--JKVPN--JKVPN--JKVPN--JKVPN,ws,False,False,False,,26351.1,TimeoutError: 
2026-08-01T20:57:10+0330,uacSpoofer 4,108.162.215.174,www.gossipglove.com,www.gossipglove.com,/assignment?TELEGRAM--KANAL--JKVPN--JKVPN--JKVPN--JKVPN--JKVPN--JKVPN,ws,False,False,False,,26351.9,TimeoutError: 
